Invoice number,5655970117,
Invoice date,2026-07-31,
Due date,2026-08-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.8753,
Total amount due,€277.36,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Trace,9B82-7513-9D1C,Spans ingested,FFCF-0164-9BC0,Default,,Usage,2026-07-01,2026-07-17,"6,758",count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery Storage API,DCC9-8DB9-673F,BigQuery Storage API - Write (europe),CB55-0D6D-EA30,Default,,Usage,2026-07-01,2026-07-17,0.361,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,Default,,Usage,2026-07-01,2026-07-31,"5,226",count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,Default,,Usage,2026-07-01,2026-07-23,"12,609",count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,Default,,Usage,2026-07-01,2026-07-23,0.02,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,Default,,Usage,2026-07-01,2026-07-23,250,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,,SPENDING_BASED_DISCOUNT,Usage,2026-07-01,2026-07-01,,,-0.000009,-0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,,SPENDING_BASED_DISCOUNT,Usage,2026-07-01,2026-07-01,,,-0.000356,-0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs Memory in europe-west1,56BC-892D-86F5,,SPENDING_BASED_DISCOUNT,Usage,2026-07-01,2026-07-02,,,-0.003307,-0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs CPU in europe-west1,72BD-0AE2-8A8F,,SPENDING_BASED_DISCOUNT,Usage,2026-07-01,2026-07-01,,,-0.023551,-0.02
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Instance-based billing) in europe-west1,A1D5-F449-FAFC,,SPENDING_BASED_DISCOUNT,Usage,2026-07-01,2026-07-02,,,-0.784455,-0.78
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Instance-based billing) in europe-west1,4C19-DF1E-81AB,,SPENDING_BASED_DISCOUNT,Usage,2026-07-01,2026-07-01,,,-3.757390,-3.76
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,Default,,Usage,2026-06-30,2026-07-30,19.356,month,0.812354,0.81
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Standard Storage Belgium,A703-5CB6-E0BF,Default,,Usage,2026-06-30,2026-07-30,0.298,gibibyte month,0.005194,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Standard Storage Belgium,A703-5CB6-E0BF,Default,,Usage,2026-06-30,2026-07-30,0.102,gibibyte month,0.001776,0.00
